anchor,dmc,hex,name
332,608,#FD552F,bright orange
332,946,#DE4600,md burnt orange
333,900,#db3700,dk burnt orange
334,606,#FD340C,bright orange-red
335,606,#fd340c,bright orange-red
336,3771,#F3B5A2,ul vy lt terra cotta
337,3778,#da8e7f,lt terra cotta
338,3778,#da8e7f,lt terra cotta
339,920,#cf501e,md copper
340,919,#BB3A0F,red copper
341,918,#A02500,dk red copper
342,211,#e0c5e0,lt lavender
343,3752,#9ab3cd,vy lt antique blue
347,3064,#ca9073,desert sand
349,3826,#b66e2a,golden brown
351,400,#8c410f,dk mahogany
352,300,#6D2D00,vy dk mahogany
354,611,#847a57,drab brown
355,975,#8e4c12,Dk Golden Brown
357,433,#79511a,Md Brown
358,3862,#8C6F4E,dk mocha beige
358,433,#79511A,md brown
359,801,#653D0F,dk coffee brown
360,898,#512D07,vy dk coffee brown
361,738,#DDB689,vy lt tan
362,437,#C99F6A,lt tan
363,977,#db9851,lt golden brown
365,435,#a0743e,vy lt brown
366,738,#ddb689,vy lt tan
366,945,#ffc9ae,tawny
367,738,#ddb689,vy lt tan
369,435,#a0743e,vy lt brown
370,780,#af5e00,ul vy dk topaz
372,422,#d5b067,lt hazelnut brown
373,3828,#B2913C,hazelnut brown
374,420,#9A7B33,dk hazelnut brown
375,869,#745e27,vy dk hazelnut brown
376,3864,#CBB69C,lt mocha beige
376,842,#d9c2a8,vy lt beige brown
378,3861,#A4857E,lt cocoa
379,3860,#8F6D65,cocoa
379,3863,#A88764,md mocha beige
380,779,#604944,dk cocoa
381,838,#523516,vy dk beige brown
381,938,#3E2200,ul dk coffee brown
382,3371,#3A2723,black brown
386,3823,#FEFBCE,ul pale yellow
387,739,#F5F0EC,ecru
387,739,#f2d3a8,ul vy lt tan
388,842,#d9c2a8,vy lt beige brown
390,822,#F3ECDC,lt beige gray
391,3033,#E0D4C3,vy lt mocha brown
392,642,#B8AD92,dk beige gray
393,3790,#776847,ul dk beige gray
397,3024,#D7D7C3,vy lt brown gray
398,168,#C7CDCE,vy lt pewter
398,415,#BFBFC3,pearl gray
399,318,#9c9ca4,lt steel gray
400,317,#575D61,pewter gray
401,535,#555545,vy lt ash gray
403,310,#000000,black
410,3844,#099D89,dk bright turquoise
410,995,#016EA5,dk electric blue
433,996,#13bcde,md electric blue
675,3808,#0b525d,ul vy dk turquoise
676,452,#ae9aa4,md shell gray
677,3863,#a88764,md mocha beige
678,611,#847a57,drab brown
679,3772,#aa7959,vy dk desert sand
681,3051,#516132,dk green gray
683,500,#055538,vy dk blue green
772,3772,#aa7959,vy dk desert sand
778,3774,#F1DBD0,vy lt desert sand
779,3768,#528779,dk gray green
781,931,#46728c,md antique blue
799,498,#a4132b,dk red
802,445,#fff983,lt lemon
803,976,#cb8234,md golden brown
806,931,#46728c,md antique blue
815,414,#7c7c84,dk steel gray
816,924,#166059,vy dk gray green
817,580,#667913,dk moss green
820,729,#e3b344,md old gold
830,644,#DDD3BC,md beige gray
831,613,#D4C7A8,vy lt drab brown
832,612,#A29670,lt drab brown
837,927,#a0bebe,lt gray green
840,930,#316274,dk antique blue
842,3013,#B7B77E,lt khaki green
842,3348,#ceeb90,lt yellow green
843,3012,#939857,md khaki green
844,3012,#939857,md khaki green
845,730,#706C21,vy dk olive green
846,3011,#6E783B,dk khaki green
847,3072,#E3E7D9,vy lt beaver gray
848,927,#A0BEBE,lt gray green
849,169,#7F8887,lt pewter
850,926,#79A296,md gray green
851,924,#166059,vy dk gray green
852,3047,#E7E1B8,lt yellow beige
853,372,#C1BA7E,lt mustard
854,371,#B7A765,mustard
855,370,#AE9B54,md mustard
858,524,#C1CAA7,vy lt fern green
859,523,#b3be95,lt fern green
860,522,#819569,fern green
861,935,#3B4D0F,dk avocado green
862,520,#42612B,dk fern green
862,934,#314615,black avocado green
868,758,#eda394,vy lt terra cotta
869,3743,#D3C6CF,vy lt antique violet
870,3042,#B499A4,lt antique violet
871,3041,#937580,md antique violet
872,3740,#765561,dk antique violet
873,154,#552332,vy dk grape
873,3740,#765561,dk antique violet
874,834,#D5C77F,vy lt golden olive
875,3813,#B2D4BD,lt blue green
875,3817,#AAD9BA,lt celadon green
876,3816,#78B48A,celadon green
876,503,#8AB5A0,md blue green
877,163,#559A6E,md celadon green
877,3815,#397A59,dk celadon green
877,502,#598D6E,blue green
878,501,#3D7654,dk blue green
879,500,#055538,vy dk blue green
880,951,#ffddc6,lt tawny
881,945,#FFC9AE,tawny
882,758,#eda394,vy lt terra cotta
883,3064,#CA9073,desert sand
884,355,#a5463c,dk terra cotta
884,920,#cf501e,md copper
885,739,#f2d3a8,ul vy lt tan
886,677,#F4E7B4,vy lt old gold
887,3046,#D9CDA3,md yellow beige
888,3045,#C5AD66,dk yellow beige
889,610,#6F6641,dk drab brown
890,729,#E3B344,md old gold
891,3825,#FDB78E,pale pumpkin
891,676,#EECA70,lt old gold
892,225,#ffd7ce,ul vy lt shell pink
893,224,#E9B1A8,vy lt shell pink
895,223,#D58582,lt shell pink
896,3721,#AC4A52,dk shell pink
897,221,#9A3D43,vy dk shell pink
897,902,#6d1a2b,vy dk garnet
898,167,#AC8D3E,vy dk yellow beige
898,611,#847A57,drab brown
899,3782,#CABCA3,lt mocha brown
900,648,#bcc0a8,lt beaver gray
901,3829,#A67D04,vy dk old gold
901,680,#C8A027,dk old gold
903,3032,#AE9D78,md mocha brown
903,640,#918463,vy dk beige gray
904,3781,#574D2A,dk mocha brown
905,3021,#44452A,vy dk brown gray
905,3031,#473727,vy dk mocha brown
906,829,#694F00,vy dk golden olive
907,832,#A89234,golden olive
